"denominazione","Stato","codice.Istat","media","diff","TITOLO_DI_STUDIO","SESSO","PARTITO_LISTA_COALIZIONE","nord","eta_sindaco","grado.di.autonomia.impositiva","grado.di.dipendenza.da.contributi.e.trasferimenti.correnti","grado.di.finanziamento.interno","grado.di.autonomia.finanziaria","rigidit√..della.spesa","incidenza.spese.personale.su.spese.correnti","grado.di.dipendenza.da.finanziamento.esterno","incidenza.spese.personale.su.entrate..correnti","spese.per.rimborso.prestiti.in.relazione.alle.entrate.correnti","indice.di.consistenza.iniziale.dei.residui.passivi","capacit√..di.spesa"
"Feroleto antico","0",79048,2063.5,-43,"3","1",NA,"0",38,0.5651,0.289,0.098,NA,0.7822,0.488,0.219875,0.462125,0.3336,1.612375,0.598
"Fossato serralta","0",79052,596.5,-35,"4","1","LISTA CIVICA: PER IL BENE COMUNE","0",44,0.377,0.3355,0.162333333333333,0.3305,0.655625,0.393833333333333,0.231833333333333,0.362,0.32925,NA,NA
"Gagliato","0",79055,484.5,-79,"3","1","LISTA CIVICA: GAGLIATO IN COMUNE","0",54,0.515454545454545,NA,0.164,NA,0.405272727272727,0.365777777777778,NA,0.337555555555556,0.0654545454545455,NA,0.687727272727273
"Gasperina","0",79056,2106.5,-87,"4","1","LISTA CIVICA: GASPERINA CAMBIA","0",40,0.515,NA,0.175,0.384428571428571,0.409111111111111,0.260142857142857,0.102285714285714,0.245857142857143,0.182444444444444,1.61071428571429,0.622222222222222
"Gimigliano","0",79058,3296.5,-257,"3","1","LISTA CIVICA: PRIMA DI TUTTO GIMIGLIANO","0",57,0.560272727272727,0.299111111111111,0.0947777777777778,0.385222222222222,0.415090909090909,0.377555555555556,0.0923333333333333,0.355444444444444,0.0664545454545455,1.41155555555556,NA
"Girifalco","0",79059,5947.5,-351,"4","1",NA,"0",52,0.5627,0.225375,0.183875,0.560875,0.3133,0.29575,0.024875,0.25975,0.0627,1.009,0.6718
"Gizzeria","0",79060,4793.5,517,"4","1","LISTA CIVICA: GIZZERIA CHE VOGLIAMO","0",47,0.550454545454545,NA,0.121,0.431,0.426636363636364,0.338555555555556,0.136111111111111,0.309777777777778,0.118818181818182,1.967,0.549909090909091
"Guardavalle","0",79061,4546.5,-395,"3","1","LISTA CIVICA: TRASPARENZA PARTECIPAZIONE","0",53,0.6036,0.225625,0.086625,0.3565,0.8708,0.296625,NA,0.248375,0.6249,1.40525,0.6147
"Isca sullo ionio","0",79063,1592,-40,"4","1","LISTA CIVICA: PER ISCA","0",29,NA,0.218333333333333,0.233555555555556,0.463444444444444,0.402,0.250666666666667,0.0953333333333333,0.221444444444444,0.185363636363636,1.85,0.514727272727273
"Jacurso","0",79065,610.5,-19,NA,"1",NA,"0",58,0.341272727272727,0.346111111111111,NA,0.428777777777778,0.446,0.430666666666667,0.099,0.4,0.0530909090909091,1.14088888888889,0.656090909090909
"Magisano","0",79068,1226,-112,"4","1","LISTA CIVICA: PER MAGISANO","0",62,0.459909090909091,NA,0.144444444444444,0.338777777777778,0.577272727272727,0.335888888888889,0.160111111111111,0.307888888888889,0.273818181818182,1.56022222222222,0.549909090909091
"Maida","0",79069,4476.5,13,"4","1","LISTA CIVICA: LIBERTA' E PARTECIPAZIONE","0",41,0.532545454545455,0.261222222222222,0.170555555555556,NA,0.338272727272727,0.329111111111111,0.051,0.305666666666667,0.0453636363636364,1.45666666666667,0.617181818181818
"Marcedusa","0",79071,419,-12,"2","1","LISTA CIVICA: LIBERTA' E TRASPARENZA","0",65,0.210285714285714,0.7242,NA,0.1288,0.623,NA,0.0788,0.306,0.311,0.895,0.669428571428571
"Marcellinara","0",79072,2230,-50,"4","1","LISTA CIVICA: MARCELLINARA PROGETTO FUTURO","0",37,0.551545454545455,0.295222222222222,0.145111111111111,0.539111111111111,0.329818181818182,0.281555555555556,0.0428888888888889,0.258777777777778,0.0615454545454545,1.313,0.637454545454545
"Martirano","0",79073,898,-64,"3","1","LISTA CIVICA: CON LA GENTE PER LA GENTE","0",39,0.432272727272727,0.374333333333333,0.107777777777778,0.299777777777778,0.580454545454545,0.408222222222222,0.143222222222222,0.385777777777778,0.187454545454545,NA,0.610181818181818
"Martirano lombardo","0",79074,1102.5,-117,"4","1","LISTA CIVICA: L'AURORA","0",55,0.3573,0.40175,0.132875,0.346875,0.5597,0.490375,0.062875,NA,0.1019,1.80675,0.5585
"Miglierina","0",79077,767,-60,"4","1","LISTA CIVICA: INSIEME PER MIGLIERINA","0",37,0.404545454545455,0.413888888888889,0.112666666666667,0.307111111111111,0.355545454545455,0.324777777777778,0.0394444444444444,0.290111111111111,0.0893636363636364,1.85844444444444,0.579909090909091
"Montauro","0",79080,1637.5,117,NA,NA,NA,NA,NA,0.640090909090909,0.176777777777778,0.113444444444444,0.480777777777778,0.357909090909091,0.223333333333333,0.121333333333333,0.202888888888889,0.165818181818182,2.01255555555556,0.582545454545455
"Montepaone","0",79081,5075,738,"3","1","LISTA CIVICA: MONTEPAONE RIPARTE","0",46,0.607181818181818,0.204222222222222,0.134888888888889,0.540777777777778,0.433727272727273,NA,0.126444444444444,0.307666666666667,0.144272727272727,1.38355555555556,0.669
"Motta santa lucia","0",79083,840.5,-67,"4","1","LISTA CIVICA: MOTTA VIVA","0",48,0.410111111111111,0.469857142857143,0.0982857142857143,0.301571428571429,0.443333333333333,0.4,0.0874285714285714,0.38,0.0948888888888889,0.970142857142857,0.740888888888889
"Olivadi","0",79088,547.5,-59,"3","1","LISTA CIVICA: UNITI PER LA RINASCITA","0",30,0.421,0.237,0.216625,0.47925,0.5202,0.36975,0.076375,0.344125,0.2014,2.56975,0.6742
"Palermiti","0",79089,1212,-112,"3","1","LISTA CIVICA: SIAMO PALERMITI","0",48,0.4889,0.227625,0.185625,0.47275,0.5186,0.309125,0.146125,0.2625,0.2287,1.292125,0.6605
"Pentone","0",79092,2105.5,-209,"4","1","LISTA CIVICA: FUTURO E' CAMBIAMENTO","0",48,NA,0.328111111111111,0.126666666666667,0.355222222222222,0.706181818181818,0.379,0.204666666666667,0.355333333333333,0.353909090909091,1.25655555555556,0.736909090909091
"Petrizzi","0",79094,1130.5,-77,"4","1","LISTA CIVICA: OPEROSITA' E CONCORDIA","0",68,0.4702,0.332777777777778,NA,0.432666666666667,0.3487,0.283333333333333,0.0493333333333333,0.243555555555556,0.109,2.25488888888889,0.5574
"Pianopoli","0",79096,2564.5,31,"3","1","LISTA CIVICA: RAMOSCELLO D'ULIVO","0",38,0.485636363636364,0.249888888888889,0.166777777777778,0.465777777777778,0.384909090909091,0.326,0.0348888888888889,0.297888888888889,0.0780909090909091,1.42088888888889,0.596636363636364
"Platania","0",79099,2156,-170,"3","1","LISTA CIVICA: BUON GOVERNO PLATANESE","0",55,0.463272727272727,0.460444444444444,0.0774444444444444,0.305,0.558181818181818,0.478222222222222,0.0697777777777778,NA,0.100727272727273,1.51422222222222,0.637181818181818
"San floro","0",79108,713,26,"4","0",NA,"0",53,NA,0.321111111111111,0.155,0.399111111111111,0.348818181818182,0.322111111111111,0.0491111111111111,0.282555555555556,NA,3.38733333333333,NA
"San pietro a maida","0",79114,4162,-294,"4","1","LISTA CIVICA: LA SVOLTA 2.0","0",64,0.4773,0.283,0.153875,0.38125,0.5941,0.37825,0.144875,0.35125,0.2489,1.310125,0.5309
"San pietro apostolo","0",79115,1722.5,-111,"2","1","LISTA CIVICA: SAN PIETRO PER IL FUTURO","0",51,0.4084,0.424875,0.144875,0.409625,0.4438,NA,0.034875,0.418625,NA,0.88575,NA
"San sostene","0",79116,1343,74,"4","1","LISTA CIVICA: INSIEME PER S. SOSTENE","0",54,0.4468,0.212,0.230375,0.507,0.2935,0.23675,0.133625,0.20075,0.0991,0.995875,NA
"Santa caterina dello ionio","0",79117,2124.5,-39,"4","1","LISTA CIVICA: PER UN FUTURO MIGLIORE","0",61,0.4493,0.320375,0.123,0.34725,0.6269,0.3465,0.216625,0.311,0.3283,1.787875,NA
"Santandrea apostolo dello ionio","0",79118,1942,-254,"3","1","LISTA CIVICA: ARCOBALENO","0",56,0.641454545454545,0.224555555555556,0.135333333333333,0.485666666666667,0.452909090909091,0.270666666666667,0.132,0.253555555555556,0.209272727272727,NA,NA
"San vito sullo ionio","0",79122,1766,-138,"3","1","LISTA CIVICA: SAN VITO DA VIVERE","0",60,0.393272727272727,0.253222222222222,0.263777777777778,0.540333333333333,0.441181818181818,0.386666666666667,0.0468888888888889,0.334333333333333,0.109181818181818,1.21011111111111,0.710363636363636
"Satriano","0",79123,3371,70,NA,NA,NA,NA,NA,0.5687,0.213125,0.128375,0.388875,0.6812,0.298125,0.116375,0.33175,0.3704,1.542875,NA
"Sellia","0",79126,518.5,9,"4","1","LISTA CIVICA: CRESCIAMO ANCORA INSIEME","0",41,0.420555555555556,NA,0.155142857142857,0.346571428571429,NA,0.393571428571429,0.0554285714285714,0.344571428571429,NA,1.13628571428571,NA
"Sellia marina","0",79127,7298,556,"4","1","LISTA CIVICA: CAMBIAMO INSIEME","0",48,0.6555,NA,0.142625,0.53325,0.3558,0.261,0.06525,0.2365,0.1311,NA,NA
"Serrastretta","0",79129,3152.5,-189,"3","1","LISTA CIVICA: OBIETTIVO BENE COMUNE","0",41,0.555545454545455,0.342333333333333,0.0951111111111111,0.447111111111111,0.455454545454545,0.421444444444444,0.0317777777777778,NA,0.0487272727272727,1.16077777777778,NA
"Sersale","0",79130,4632.5,-281,"4","1","LISTA CIVICA: PROGETTO SERSALE","0",53,NA,0.416125,0.138125,0.3675,0.4341,0.322625,0.156625,0.274125,0.1663,1.529625,NA
"Settingiano","0",79131,3031,150,"3","1","LISTA CIVICA: INSIEME PER SETTINGIANO","0",57,0.575545454545455,0.166222222222222,0.164666666666667,0.494888888888889,0.533545454545455,0.304222222222222,0.226333333333333,0.281777777777778,0.261454545454545,1.35055555555556,NA
"Simeri crichi","0",79133,4535,108,"4","1","LISTA CIVICA: INSIEME PER SIMERI CRICHI","0",47,0.6111,0.13175,0.225125,0.676375,NA,0.27625,0,0.246,0.0666,2.119,NA
"Sorbo san basile","0",79134,810,-34,NA,NA,NA,NA,NA,0.510090909090909,NA,0.165444444444444,0.489555555555556,0.439,0.433444444444444,0.0713333333333333,NA,0.0630909090909091,NA,NA
"Soverato","0",79137,8809,-24,"4","1","LISTA CIVICA: CAMBIAMENTI","0",40,0.469727272727273,0.243777777777778,0.208555555555556,0.503555555555556,0.535,0.265666666666667,0.157666666666667,0.237555555555556,0.296363636363636,1.68866666666667,NA
"Soveria simeri","0",79139,1584,-114,"3","1","LISTA CIVICA: SOVERIA NEL CUORE","0",54,0.535727272727273,0.360111111111111,0.117777777777778,0.353222222222222,0.361727272727273,NA,0.104444444444444,0.274888888888889,0.0944545454545455,1.43377777777778,NA
"Squillace","0",79142,3483.5,187,"4","1","LISTA CIVICA: MUCCARI","0",61,0.593727272727273,0.244222222222222,NA,0.495111111111111,0.280727272727273,NA,0.061,0.206666666666667,0.0859090909090909,2.39644444444444,NA
"Taverna","0",79146,2648.5,-111,"4","1","LISTA CIVICA: INSIEME PER IL BENE COMUNE","0",36,0.589727272727273,0.192333333333333,0.134666666666667,0.395666666666667,0.445090909090909,0.393333333333333,0.0613333333333333,0.353444444444444,0.103272727272727,2.48477777777778,NA
"Tiriolo","0",79147,3840.5,-105,"4","1","LISTA CIVICA: INSIEME PER TIRIOLO","0",55,0.617818181818182,0.254444444444444,0.102888888888889,0.450777777777778,0.437545454545455,0.344,0.0758888888888889,0.331888888888889,0.106272727272727,1.65488888888889,NA
"Torre di ruggiero","0",79148,1046,-150,"3","1","LISTA CIVICA: PER TORRE","0",65,0.412125,0.366,0.159666666666667,0.350166666666667,NA,0.359166666666667,0.0816666666666667,0.326166666666667,0.0795,NA,NA
"Vallefiorita","0",79151,1740,-212,"3","1","LISTA CIVICA: VALLEFIORITA UNITA","0",49,0.411454545454545,NA,0.222,0.478777777777778,0.434727272727273,0.363444444444444,0.115,0.326555555555556,0.123272727272727,0.671555555555556,NA
"Lamezia terme","0",79160,69380.5,-1897,NA,NA,NA,NA,NA,0.7038,0.254125,0.04425,0.4055,NA,0.274875,0.230625,0.251625,0.3322,1.76975,0.5916
"Africo","0",80001,3093,-212,"3","1",NA,"0",31,0.4691,0.3665,0.099875,0.358125,0.3695,0.360125,0.055,0.32625,0.056,NA,0.4682
"Agnana calabra","0",80002,542.5,-61,"3","0","LISTA CIVICA: INSIEME PER CRESCERE","0",51,NA,0.410625,0.1095,0.345,0.5227,0.505875,0.044,NA,0.0699,2.463,0.486
"Anoia","0",80003,2191,-126,"3","1","LISTA CIVICA: SVEGLIA","0",63,0.5037,0.395375,0.094,NA,0.6535,0.43475,0.235875,0.3765,0.2699,1.08775,0.6825
"Antonimina","0",80004,1320.5,-81,"4","1","LISTA CIVICA: SCRIVIAMO INSIEME NUOVE PAGINE","0",66,0.5259,0.294875,0.1465,0.34875,0.432,0.418125,0.031625,0.368125,0.061,2.072,0.4736
"Ardore","0",80005,4837,126,"4","1","LISTA CIVICA: ARDORE RIPARTE","0",67,0.5044,0.301375,0.10375,0.4005,NA,NA,0.198,0.272375,0.3126,1.689375,0.5969
"Bagaladi","0",80006,1029.5,-105,"4","1","LISTA CIVICA: FARE PER BAGALADI","0",63,0.430909090909091,0.345555555555556,0.172444444444444,0.365222222222222,0.511,0.358222222222222,0.069,0.329777777777778,0.197545454545455,1.63266666666667,0.572545454545455
"Bianco","0",80009,4136.5,11,"3","1","LISTA CIVICA: LIBERTA' E PARTECIPAZIONE","0",63,0.4116,0.311875,0.13775,0.339125,0.6435,0.33775,0.208625,0.30725,0.3515,1.592875,0.532
"Bivongi","0",80010,1342.5,-123,"3","1","LISTA CIVICA: INSIEME PER BIVONGI","0",58,0.399545454545455,0.461333333333333,0.116111111111111,0.375111111111111,0.376545454545455,0.342777777777778,0.0215555555555556,0.315111111111111,0.0511818181818182,NA,0.565
"Bova","0",80011,435.5,-37,"3","1",NA,"0",59,0.0815454545454545,0.834,0.0663333333333333,0.0995555555555555,0.460636363636364,0.380444444444444,0.0271111111111111,0.345666666666667,0.128636363636364,3.26744444444444,0.697090909090909
"Bova marina","0",80013,4151,4,NA,NA,NA,NA,NA,NA,0.32775,0.134375,NA,0.4524,0.346375,0.09725,0.320875,0.1447,2.634375,NA
"Brancaleone","0",80014,3550,-144,NA,NA,NA,NA,NA,0.6,0.216888888888889,0.125888888888889,0.488111111111111,0.403363636363636,0.255666666666667,0.135888888888889,0.243666666666667,0.165363636363636,1.71622222222222,0.539818181818182
"Bruzzano zeffirio","0",80015,1155,-126,"4","1","LISTA CIVICA: UNIONE DEMOCRATICA","0",69,0.4853,0.320625,NA,0.4125,0.6204,0.521625,NA,0.4655,0.1552,0.9185,0.7167
"Calanna","0",80016,915,-116,"4","1",NA,"0",41,0.4588,0.3405,0.092125,0.3525,0.6929,0.461875,0.12975,0.435,0.2687,2.242875,0.6674
"Camini","0",80017,735.5,35,"4","1",NA,"0",56,0.2975,0.479875,0.1155,0.2915,0.3039,0.28925,0.0375,0.26375,0.0674,1.941625,0.5135
"Campo calabro","0",80018,4413.5,-11,"4","1","LISTA CIVICA: PRIMA DI TUTTO CAMPO CALABRO","0",59,0.598181818181818,0.254666666666667,0.115111111111111,0.530777777777778,0.423090909090909,0.390222222222222,0.105222222222222,0.348777777777778,0.0876363636363636,1.09622222222222,0.703909090909091
"Candidoni","0",80019,396,20,"4","1","LISTA CIVICA: CAVALLARO SINDACO","0",56,0.459545454545455,0.483555555555556,0.0586666666666667,0.395333333333333,0.459545454545455,NA,0.00611111111111111,NA,0.0932727272727273,0.847777777777778,0.711272727272727
"Canolo","0",80020,745,-100,NA,NA,NA,NA,NA,NA,0.433666666666667,0.0716666666666667,0.321555555555556,0.536636363636364,0.532222222222222,0.0168888888888889,0.481555555555556,0.0478181818181818,3.61633333333333,0.617909090909091
"Caraffa del bianco","0",80021,508,-40,"4","1","LISTA CIVICA: SOLIDARIETA' E SVILUPPO","0",51,0.316272727272727,0.433555555555556,0.337333333333333,0.346777777777778,0.475181818181818,0.416,0.00644444444444444,0.374,0.0714545454545455,1.53211111111111,0.642363636363636
"Careri","0",80023,2319.5,-185,"4","1","LISTA CIVICA: PER CAMBIARE","0",63,0.4051,0.432875,0.121375,0.339625,0.4108,0.339125,0.035,0.291375,0.0989,2.222,NA
"Casignana","0",80024,758.5,-51,"4","1","LISTA CIVICA: CASIGNANA, ORA TOCCA A TE!","0",51,0.165090909090909,0.235555555555556,0.306333333333333,0.365111111111111,0.476272727272727,0.133777777777778,0.130111111111111,0.127777777777778,0.305454545454545,2.37633333333333,0.468363636363636
"Cinquefrondi","0",80027,6515.5,37,"4","1","LISTA CIVICA: RINASCITA PER CINQUEFRONDI","0",40,0.527818181818182,0.283777777777778,0.143222222222222,0.448111111111111,0.618909090909091,0.354666666666667,0.168333333333333,0.335555555555556,0.288727272727273,1.27266666666667,0.706818181818182
"Cittanova","0",80028,10230.5,-283,"3","1","LISTA CIVICA: CITTANOVA CAMBIA","0",48,0.566090909090909,0.304888888888889,0.113333333333333,0.403666666666667,0.696090909090909,0.474888888888889,0.180333333333333,0.426444444444444,0.269545454545455,1.07922222222222,0.708818181818182
"Cosoleto","0",80030,881,-66,"3","1","LISTA CIVICA: ALLEANZA CIVICA PER I VALORI","0",41,0.4035,0.395125,NA,0.339,0.3199,0.32625,0.06925,0.27175,0.037,1.841375,0.5567
"Delianuova","0",80031,3356,-152,"3","1","LISTA CIVICA: PER DELIANUOVA","0",59,0.474,0.443222222222222,NA,0.386666666666667,0.385363636363636,0.331777777777778,0.0724444444444445,0.305666666666667,0.0594545454545455,1.25144444444444,0.748090909090909
"Feroleto della chiesa","0",80032,1693.5,-153,"3","1","LISTA CIVICA: COLOMBA CON RAMOSCELLO DI ULIVO","0",83,0.476375,0.393833333333333,0.116666666666667,0.364333333333333,0.520875,0.465,0.132166666666667,0.438666666666667,0.124,0.779,0.593
"Ferruzzano","0",80033,737,-12,"4","1","LISTA CIVICA: SPIGHE DI GRANO","0",56,0.198875,0.524833333333333,0.2005,0.239333333333333,0.484375,0.472833333333333,0.119833333333333,0.456833333333333,0.0475,3.18283333333333,0.5765
"Fiumara","0",80034,955.5,-119,"3","1","LISTA CIVICA: INSIEME PER CONTINUARE A CRESCERE","0",48,0.528363636363636,0.341777777777778,0.0932222222222222,0.399,0.400909090909091,0.368222222222222,0.0462222222222222,0.337111111111111,0.0563636363636364,2.59077777777778,0.537090909090909
"Galatro","0",80035,1690.5,-151,"3","1","LISTA CIVICA: UNITA' POPOLARE","0",66,0.460545454545455,0.445,0.0893333333333333,0.385777777777778,0.459818181818182,0.435555555555556,0.0497777777777778,0.381777777777778,0.0882727272727273,0.769444444444444,0.754454545454545
"Gerace","0",80036,2658,-218,"4","1","LISTA CIVICA: RINNOVAMENTO DEMOCRATICO","0",69,0.448,0.426666666666667,0.0727777777777778,0.28,0.307090909090909,0.300444444444444,0.0631111111111111,0.263444444444444,0.0475454545454545,3.22588888888889,0.516636363636364
"Giffone","0",80037,1851.5,-171,"2","1","LISTA CIVICA: UNITI PER GIFFONE","0",48,0.462090909090909,0.413,0.101,0.344888888888889,0.598818181818182,0.482888888888889,0.0845555555555556,0.424666666666667,0.162090909090909,0.742333333333333,0.686636363636364
"Gioiosa ionica","0",80039,7002,-36,"3","1","LISTA CIVICA: GIOIOSA BENE COMUNE","0",37,0.436909090909091,0.356333333333333,0.182444444444444,0.434555555555556,0.297727272727273,0.244888888888889,0.0223333333333333,0.229666666666667,NA,1.39866666666667,0.527363636363636
"Grotteria","0",80040,3133,-260,"3","1",NA,"0",52,0.493818181818182,0.358555555555556,0.105555555555556,0.408888888888889,0.414636363636364,0.273333333333333,0.123777777777778,0.232777777777778,0.174,2.39155555555556,0.555636363636364
"Laganadi","0",80041,409.5,-5,"3","1",NA,"0",46,0.448363636363636,0.425777777777778,0.0696666666666667,0.318888888888889,0.689454545454545,0.568666666666667,0.0707777777777778,0.529333333333333,0.165363636363636,1.61744444444444,0.625363636363636
"Mammola","0",80044,2832,-270,"4","1",NA,"0",49,0.509545454545455,0.440666666666667,0.106666666666667,0.376111111111111,0.455818181818182,0.477777777777778,0.0482222222222222,0.423111111111111,0.0369090909090909,1.48533333333333,0.578545454545455
"Marina di gioiosa ionica","0",80045,6439.5,-155,"4","1","LISTA CIVICA: LIBERTA' E' PARTECIPAZIONE","0",38,0.477454545454545,0.298333333333333,0.164666666666667,0.494666666666667,0.325181818181818,0.212222222222222,0.079,0.196555555555556,0.124727272727273,1.352,0.500909090909091
"Maropati","0",80046,1511,-136,"3","1","LISTA CIVICA: LEGALITA' E SVILUPPO","0",45,0.3767,0.536125,0.0795,0.3215,0.4119,0.39775,0.054875,0.3495,0.0436,1.012,0.6598
"Martone","0",80047,527.5,-47,"3","1","LISTA CIVICA: INSIEME PER MARTONE","0",63,0.373363636363636,0.472666666666667,0.124111111111111,0.322888888888889,0.593090909090909,0.554333333333333,0.0274444444444444,0.544111111111111,0.0278181818181818,2.05822222222222,0.672272727272727
"Melicucco","0",80049,4947.5,-221,NA,"1",NA,"0",39,0.529,0.282555555555556,0.174111111111111,NA,0.355545454545455,0.329444444444444,0.0658888888888889,NA,0.0569090909090909,1.74077777777778,NA
"Melito di porto salvo","0",80050,11082.5,-131,"4","1","LISTA CIVICA: MELITO NEL CUORE","0",50,0.550727272727273,0.243111111111111,0.148333333333333,0.468666666666667,0.407090909090909,0.221555555555556,0.171555555555556,0.193666666666667,0.206727272727273,1.94711111111111,0.491545454545455
"Molochio","0",80051,2530.5,-223,"3","1","LISTA CIVICA: ALLEANZA PER IL RINNOVAMENTO","0",62,0.3718,0.493875,0.163375,0.35775,0.4407,0.414625,0.079375,0.35525,0.0948,1.044875,0.6175
"Montebello jonico","0",80053,6122.5,-243,"3","1","LISTA CIVICA: MONTEBELLO VUOLE RINASCERE","0",72,0.585090909090909,0.275555555555556,0.0994444444444444,0.456444444444444,0.371,0.349555555555556,0.0274444444444444,0.309888888888889,0.0744545454545455,1.47933333333333,0.571181818181818
"Oppido mamertina","0",80055,5268,-242,"4","1","LISTA CIVICA: IMPEGNO CIVICO","0",46,0.482545454545455,0.365666666666667,0.138111111111111,0.419222222222222,0.41,0.365888888888889,0.075,0.332777777777778,NA,1.63855555555556,0.643727272727273
"Palizzi","0",80056,2286.5,-15,"4","1","LISTA CIVICA: PALIZZI CITTA' FUTURA","0",54,0.420777777777778,0.437,0.108571428571429,0.317428571428571,0.400222222222222,0.354428571428571,0.041,0.318857142857143,0.0881111111111111,3.10214285714286,0.525333333333333
"Palmi","0",80057,18517,-394,"4","1","LISTA CIVICA: OBIETTIVO COMUNE | LISTA CIVICA: RANUCCIO SINDACO | LISTA CIVICA: CAMBIAMENTI","0",28,0.608818181818182,0.331666666666667,0.0793333333333333,0.494222222222222,0.362636363636364,NA,0.0263333333333333,0.316888888888889,NA,1.00122222222222,0.731272727272727
"Pazzano","0",80058,573,-124,NA,"1","LISTA CIVICA: BORGO AMICO","0",72,0.421111111111111,NA,0.112857142857143,0.232571428571429,NA,0.461714285714286,0.0321428571428571,0.431857142857143,0.0767777777777778,1.48357142857143,0.468888888888889
"Placanica","0",80059,1181.5,-127,"3","1","LISTA CIVICA: PLACANICA RINATA","0",58,NA,0.364,0.136222222222222,0.329222222222222,0.408363636363636,0.314111111111111,0.121,0.274777777777778,0.127545454545455,2.03555555555556,NA
"Polistena","0",80061,10341,-766,"4","1","LISTA CIVICA: AVANTI POLISTENA","0",39,0.493,0.34775,0.127875,0.483625,0.4106,0.421875,0.093625,NA,0.0473,1.22275,0.6373
"Portigliola","0",80062,1179,-62,"4","1","LISTA CIVICA: NUOVE PROSPETTIVE","0",51,0.425727272727273,NA,0.120333333333333,0.316888888888889,NA,0.402,0.187666666666667,0.355333333333333,0.293818181818182,2.10833333333333,0.503
"Rizziconi","0",80065,7769,-128,NA,NA,NA,NA,NA,0.567727272727273,NA,0.166333333333333,0.585111111111111,NA,0.339111111111111,0.0302222222222222,NA,0.0424545454545455,1.36033333333333,0.614181818181818
"Roccaforte del greco","0",80066,483.5,-123,NA,"1",NA,"0",63,0.498090909090909,0.415222222222222,0.0714444444444444,0.320333333333333,0.498363636363636,0.507444444444444,0.116888888888889,0.462333333333333,0.0365454545454545,NA,0.518090909090909
"Roccella ionica","0",80067,6377,-106,"4","1","LISTA CIVICA: ROCCELLA PRIMA DI TUTTO","0",75,0.4898,0.318625,0.13075,0.4205,0.3258,0.30775,0.048125,0.277125,0.047,1.316375,NA
"Roghudi","0",80068,1076.5,-187,"4","1",NA,"0",42,0.473,0.446625,0.083,0.333,0.4219,0.409375,0.0605,0.3655,0.0605,NA,NA
"Rosarno","0",80069,14288.5,-249,"4","1",NA,"0",35,0.526,0.305222222222222,0.121666666666667,0.417111111111111,NA,0.344,0.0497777777777778,0.317111111111111,0.0880909090909091,NA,0.568454545454545
"Samo","0",80070,814,-106,NA,"1",NA,"0",38,NA,0.469125,0.101375,NA,0.7701,0.446125,0.19025,0.402,0.3708,1.670375,NA
"San giorgio morgeto","0",80071,3083,-108,"4","1","LISTA CIVICA: OBIETTIVO COMUNE","0",62,0.4643,0.362222222222222,0.137222222222222,0.441777777777778,0.4786,0.435888888888889,0.0684444444444444,0.394444444444444,0.0843,3.26411111111111,0.5818
"San giovanni di gerace","0",80072,486,-84,"4","1","LISTA CIVICA: MI IMPEGNO! PER I CAMBIAMENTI","0",36,0.408454545454545,NA,0.0801111111111111,0.259666666666667,0.587181818181818,0.570111111111111,0.0285555555555556,NA,0.0703636363636364,1.774,NA
"San luca","0",80074,3833,-392,NA,NA,NA,NA,NA,0.496,0.407666666666667,0.0961111111111111,0.331666666666667,0.486363636363636,0.416333333333333,0.106555555555556,0.364444444444444,0.126636363636364,1.793,0.615272727272727
"San procopio","0",80076,532,-20,"4","1","LISTA CIVICA: IDENTITA' LEGALITA' LAVORO","0",67,0.563,0.354125,0.083125,0.4195,NA,0.425375,NA,NA,0.0511,1.83075,NA
"San roberto","0",80077,1727,-198,"4","1","LISTA CIVICA: ANCORA PER CAMBIARE INSIEME","0",48,0.502909090909091,0.433444444444444,0.0552222222222222,0.375777777777778,0.401181818181818,0.384222222222222,0.0406666666666667,0.340555555555556,0.0723636363636364,1.54155555555556,NA
"Santa cristina daspromonte","0",80078,933,-160,NA,NA,NA,NA,NA,0.556454545454545,0.309444444444444,0.113111111111111,0.467333333333333,0.393818181818182,0.425333333333333,NA,0.389555555555556,0.0184545454545455,2.14288888888889,NA
"Santagata del bianco","0",80079,630.5,-79,NA,"1",NA,"0",40,0.4137,0.40425,0.12425,0.389,0.4562,NA,0.0645,0.39925,0.0381,1.890375,NA
"Santalessio in aspromonte","0",80080,322,-4,"3","1",NA,"0",43,0.285,0.620222222222222,0.0364444444444444,0.231111111111111,0.458909090909091,0.411111111111111,0.00888888888888889,0.383777777777778,0.0620909090909091,1.53988888888889,NA
"Santeufemia daspromonte","0",80081,4015.5,-59,"3","1",NA,"0",39,0.495090909090909,0.364666666666667,NA,0.453555555555556,0.42,0.346777777777778,0.0355555555555556,0.298666666666667,0.124636363636364,1.51433333333333,NA
"Santilario dello ionio","0",80082,1361,50,"4","1","LISTA CIVICA: INSIEME PER COSTRUIRE","0",44,0.422181818181818,0.358333333333333,0.103555555555556,0.309111111111111,0.483272727272727,0.339444444444444,0.0768888888888889,0.302444444444444,0.179545454545455,NA,NA
"Santo stefano in aspromonte","0",80083,1247,-12,"4","1",NA,"0",50,0.504333333333333,0.28725,0.123625,0.344875,0.362222222222222,0.356,0.037125,0.335625,0.0333333333333333,2.04425,NA
